"subject","cong_Acc_avg","incong_Acc_avg","corr_cong_RT_avg","corr_incong_RT_avg","err_cong_RT_avg","err_incong_RT_avg","num_corr_cong_trials","num_corr_incong_trials","num_err_cong_trials","num_err_incong_trials"
5404,0.737142857142857,0.658959537572254,394.395348837209,454.473684210526,432.95652173913,436.220338983051,67,54,25,19
5405,0.84393063583815,0.793103448275862,471.643835616438,518.086956521739,419.481481481481,362.972222222222,75,66,15,10
5409,0.882352941176471,0.833333333333333,518.833333333333,590.172413793103,387.7,407.620689655172,74,64,13,15
5418,0.901234567901235,0.690909090909091,725.815068493151,761.263157894737,656.625,747.56862745098,69,52,9,20
5429,0.833333333333333,0.588957055214724,527.535714285714,659.770833333333,459.285714285714,488.970149253731,72,41,12,22
5432,0.909677419354839,0.741935483870968,579.985815602837,699.817391304348,600.785714285714,477.225,59,52,7,12
5433,0.914110429447853,0.867924528301887,631.013422818792,663.775362318841,511.785714285714,650.190476190476,64,61,6,11
5434,0.941520467836257,0.706349206349206,918.04347826087,NA,994.2,NA,62,31,4,9
5436,0.892405063291139,0.907975460122699,755.390070921986,756.52027027027,719.235294117647,574.266666666667,70,64,6,9
5437,0.764331210191083,0.590909090909091,627.691666666667,656.164835164835,506.783783783784,527.396825396825,47,41,23,19
5441,0.909090909090909,0.583815028901734,392.1,494.514851485149,278.6875,331.277777777778,81,49,7,29
5442,0.894736842105263,0.707602339181287,473.091503267974,529.900826446281,353.166666666667,381.08,65,64,10,19
5446,0.925714285714286,0.84971098265896,495.561728395062,504.897959183673,352.384615384615,412.653846153846,81,66,8,11
5448,0.971590909090909,0.943181818181818,425.959064327485,466.909638554217,320.8,339.8,86,78,5,3
5449,0.982758620689655,0.88,498.654970760234,566.87012987013,271.666666666667,398.190476190476,85,72,2,8
5458,0.918918918918919,0.651162790697674,794.632352941176,914.119047619048,630.75,737.977777777778,58,28,5,14
5463,0.865497076023392,0.862275449101796,587.027027027027,667.118055555556,488.869565217391,477.826086956522,76,56,15,10
5470,0.982954545454545,0.901734104046243,398.791907514451,445.301282051282,295,310.058823529412,88,67,3,7
5472,0.949044585987261,0.678787878787879,465.442953020134,573.410714285714,370.375,371.88679245283,65,53,4,14
5480,0.988439306358382,0.941860465116279,570.263157894737,629.567901234568,428,374,81,80,0,1
5484,0.960227272727273,0.891428571428571,575.621301775148,650.557692307692,553,546.789473684211,92,69,5,4
5493,0.925714285714286,0.954022988505747,509.524691358025,535.030120481928,464,404.375,85,71,7,3
5494,0.82183908045977,0.828571428571429,468.825174825175,516.358620689655,436.935483870968,362.2,69,68,14,16
5496,0.936416184971098,0.747126436781609,429.777777777778,473.807692307692,410.636363636364,401.477272727273,73,65,7,22
5501,0.926829268292683,0.644171779141104,504,642.552380952381,374.583333333333,457.241379310345,74,50,6,17
5504,0.906432748538012,0.844311377245509,669.412903225806,704.418439716312,552.375,531.192307692308,73,61,9,12
5512,0.919540229885057,0.845714285714286,446.4875,482.371621621622,365.357142857143,330.259259259259,81,64,10,14
5514,0.93491124260355,0.818713450292398,589.075949367089,657.592857142857,354.818181818182,464.58064516129,82,58,7,11
5519,0.87719298245614,0.635802469135803,533.673333333333,633.543689320388,341.047619047619,468.796610169492,60,43,12,25
5220,0.784883720930233,0.782857142857143,577.318518518519,608.824817518248,565.756756756757,580.868421052632,69,64,24,12
5310,0.895348837209302,0.755681818181818,499.701298701299,541.714285714286,457.222222222222,468.53488372093,74,64,10,20
